MES,CODIGOCLIENTE,DISTRITO,EDAD,DEPARTAMENTO,FLG_CELULAR,FLG_EMAIL,FLG_PROCEDENCIA,FLG_TELEFONO,RNG_EDAD,RNG_INGRESO_BRUTO,PROVINCIA,PROFESION,SEXO,SITUACION_LABORAL
201707,IBK_CODUNICO00029134708,RIMAC,38,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201705,IBK_CODUNICO00028255341,SANTIAGO DE SURCO,48,LIMA,0,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,PROFESOR,F,DEPENDIENTE
201712,IBK_CODUNICO00028256511,ATE,29,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201702,IBK_CODUNICO00027046084,SAN MARTIN DE PORRES,56,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00028165423,HUANCAYO,40,JUNÍN,1,1,PROVINCIA,0,28 - 45,1200 - 3999,HUANCAYO,,F,INDEPENDIENTE
201703,IBK_CODUNICO00025320685,SANTIAGO DE SURCO,31,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00028183958,SAN MIGUEL,35,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,,M,DEPENDIENTE
201710,IBK_CODUNICO00025353082,RIMAC,50,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,DEPENDIENTE
201710,IBK_CODUNICO00026777426,RIMAC,34,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00028456138,JESUS MARIA,43,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00028549178,CARMEN ALTO,55,AYACUCHO,1,0,PROVINCIA,1,46 - 65,4000 - 9999,HUAMANGA,,M,INDEPENDIENTE
201708,IBK_CODUNICO00026074272,CHORRILLOS,45,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201705,IBK_CODUNICO00029055287,SAN ISIDRO,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201710,IBK_CODUNICO00013669164,MAGDALENA DEL MAR,39,LIMA,0,0,LIMA Y CALLAO,1,28 - 45,10000 - 14999,LIMA,,M,DEPENDIENTE
201705,IBK_CODUNICO00026212021,SAN JUAN DE MIRAFLORES,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201701,IBK_CODUNICO00023168252,OLMOS,44,LAMBAYEQUE,1,0,PROVINCIA,0,28 - 45,1200 - 3999,LAMBAYEQUE,,M,DEPENDIENTE
201704,IBK_CODUNICO00027628191,LIMA,33,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00018480114,SAN JUAN DE LURIGANCHO,50,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,ABOGADO,M,INDEPENDIENTE
201710,IBK_CODUNICO00028103347,SAN MARTIN DE PORRES,30,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201701,IBK_CODUNICO00028705893,MAGDALENA DEL MAR,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,INGENIERO,M,DEPENDIENTE
201712,IBK_CODUNICO00026132290,TACNA,30,TACNA,1,1,PROVINCIA,1,28 - 45,1200 - 3999,TACNA,,M,DEPENDIENTE
201704,IBK_CODUNICO00026980954,SAN MARTIN DE PORRES,34,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201708,IBK_CODUNICO00025887451,ATE,34,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201709,IBK_CODUNICO00029115366,MIRAFLORES,56,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,DEPENDIENTE
201708,IBK_CODUNICO00026369242,LA MOLINA,28,LIMA,0,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201707,IBK_CODUNICO00028972884,SAN MARTIN DE PORRES,60,LIMA,0,1,LIMA Y CALLAO,0,46 - 65,_INGRESO,LIMA,,M,INDEPENDIENTE
201703,IBK_CODUNICO00027426686,RIMAC,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201704,IBK_CODUNICO00028595946,SANTIAGO DE SURCO,46,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,DEPENDIENTE
201706,IBK_CODUNICO00029063016,SANTIAGO DE SURCO,46,LIMA,0,1,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,ABOGADO,M,DEPENDIENTE
201708,IBK_CODUNICO00026544967,JAYANCA,47,LAMBAYEQUE,1,0,PROVINCIA,1,46 - 65,1200 - 3999,LAMBAYEQUE,,M,DEPENDIENTE
201704,IBK_CODUNICO00028589697,TACNA,68,TACNA,1,0,PROVINCIA,1,66 - 72,1200 - 3999,TACNA,,F,INDEPENDIENTE
201709,IBK_CODUNICO00026059199,LIMA,48,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,PROFESOR,F,INDEPENDIENTE
201701,IBK_CODUNICO00015370163,BREÑA,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,CONTADOR,M,INDEPENDIENTE
201702,IBK_CODUNICO00028191988,SAN JUAN DE MIRAFLORES,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,,DEPENDIENTE
201710,IBK_CODUNICO00016539503,SAN JUAN DE MIRAFLORES,26,LIMA,0,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00023450440,CARABAYLLO,27,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,M,DEPENDIENTE
201708,IBK_CODUNICO00021566012,LOS OLIVOS,34,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,10000 - 14999,LIMA,,M,INDEPENDIENTE
201703,IBK_CODUNICO00014661877,SANTA ANITA,26,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00028718481,SAN ISIDRO,45,LIMA,1,0,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,,DEPENDIENTE
201712,IBK_CODUNICO00027592176,PAUCARPATA,40,AREQUIPA,1,1,PROVINCIA,0,28 - 45,4000 - 9999,AREQUIPA,,M,DEPENDIENTE
201701,IBK_CODUNICO00025391930,LOS OLIVOS,33,LIMA,0,1,LIMA Y CALLAO,0,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201702,IBK_CODUNICO00028317115,EL AGUSTINO,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201709,IBK_CODUNICO00027172738,MIRAFLORES,41,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201706,IBK_CODUNICO00026528147,MARCONA,36,ICA,1,1,PROVINCIA,0,28 - 45,4000 - 9999,NAZCA,,M,INDEPENDIENTE
201707,IBK_CODUNICO00026592685,LOS OLIVOS,47,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,INDEPENDIENTE
201710,IBK_CODUNICO00028955184,MIRAFLORES,30,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,,DEPENDIENTE
201705,IBK_CODUNICO00028687562,PARAMONGA,63,LIMA,1,1,LIMA Y CALLAO,0,46 - 65,1200 - 3999,BARRANCA,MECANICO DE VEHICULOS,M,DEPENDIENTE
201707,IBK_CODUNICO00027224726,TRUJILLO,67,LA LIBERTAD,0,0,PROVINCIA,1,66 - 72,1200 - 3999,TRUJILLO,,M,DEPENDIENTE
201703,IBK_CODUNICO00028578390,SAN BORJA,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,F,DEPENDIENTE
201706,IBK_CODUNICO00028653893,MIRAFLORES,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201701,IBK_CODUNICO00029293353,SAN MIGUEL,26,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,M,INDEPENDIENTE
201708,IBK_CODUNICO00028076399,PUEBLO LIBRE,28,LIMA,0,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,ABOGADO,,DEPENDIENTE
201710,IBK_CODUNICO00028683281,LIMA,24,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,F,DEPENDIENTE
201708,IBK_CODUNICO00026819394,PUNO,42,PUNO,1,1,PROVINCIA,1,28 - 45,4000 - 9999,PUNO,INGENIERO,M,INDEPENDIENTE
201708,IBK_CODUNICO00026972042,VICTOR LARCO HERRERA,54,LA LIBERTAD,1,1,PROVINCIA,1,46 - 65,1200 - 3999,TRUJILLO,,F,INDEPENDIENTE
201701,IBK_CODUNICO00021364166,PUNO,30,PUNO,1,1,PROVINCIA,1,28 - 45,1200 - 3999,PUNO,,F,DEPENDIENTE
201712,IBK_CODUNICO00015522379,MORROPE,36,LAMBAYEQUE,1,1,PROVINCIA,0,28 - 45,850 - 1199,LAMBAYEQUE,,M,DEPENDIENTE
201710,IBK_CODUNICO00026648187,SANTIAGO DE SURCO,48,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,CONTADOR,F,INDEPENDIENTE
201709,IBK_CODUNICO00029271187,SANTIAGO DE SURCO,56,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,M,INDEPENDIENTE
201701,IBK_CODUNICO00028803780,MIRAFLORES,33,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201712,IBK_CODUNICO00027905872,JESUS MARIA,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,ECONOMISTA,M,DEPENDIENTE
201708,IBK_CODUNICO00025242079,LOS OLIVOS,30,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201705,IBK_CODUNICO00025863259,VENTANILLA,37,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,PROV. CONST. DEL CALLAO,,F,DEPENDIENTE
201704,IBK_CODUNICO00026607698,EL TAMBO,33,JUNÍN,1,1,PROVINCIA,1,28 - 45,4000 - 9999,HUANCAYO,,M,DEPENDIENTE
201708,IBK_CODUNICO00024596188,PAUCARPATA,31,AREQUIPA,1,1,PROVINCIA,1,28 - 45,1200 - 3999,AREQUIPA,,F,DEPENDIENTE
201712,IBK_CODUNICO00026824325,CALLAO,43,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,PROV. CONST. DEL CALLAO,,M,DEPENDIENTE
201711,IBK_CODUNICO00024727985,TRUJILLO,36,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,1200 - 3999,TRUJILLO,,F,DEPENDIENTE
201708,IBK_CODUNICO00024776171,PARIÑAS,30,PIURA,1,0,PROVINCIA,0,28 - 45,1200 - 3999,TALARA,,F,INDEPENDIENTE
201702,IBK_CODUNICO00013345944,CATACAOS,50,PIURA,1,1,PROVINCIA,1,46 - 65,1200 - 3999,PIURA,,M,INDEPENDIENTE
201710,IBK_CODUNICO00018096857,SAN ISIDRO,53,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,10000 - 14999,LIMA,MUSICO,M,INDEPENDIENTE
201712,IBK_CODUNICO00027939212,RIMAC,52,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,DEPENDIENTE
201701,IBK_CODUNICO00024361351,SANTIAGO DE SURCO,33,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00029035677,SANTIAGO DE SURCO,32,LIMA,0,0,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201706,IBK_CODUNICO00028957016,JESUS MARIA,35,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00029285178,SANTA ANITA,31,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00027139148,LOS OLIVOS,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00027947477,CHINCHA ALTA,55,ICA,0,0,PROVINCIA,0,46 - 65,Hasta 849,CHINCHA,,F,DEPENDIENTE
201709,IBK_CODUNICO00027811053,PARIÑAS,38,PIURA,1,1,PROVINCIA,1,28 - 45,De 15000 a más,TALARA,,M,DEPENDIENTE
201706,IBK_CODUNICO00026653386,RIMAC,26,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,M,INDEPENDIENTE
201711,IBK_CODUNICO00024721443,SANTIAGO DE SURCO,38,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,,M,DEPENDIENTE
201710,IBK_CODUNICO00029050756,MIRAFLORES,43,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,PROFESOR,F,INDEPENDIENTE
201701,IBK_CODUNICO00027089962,CASMA,40,ANCASH,1,0,PROVINCIA,1,28 - 45,1200 - 3999,CASMA,,F,DEPENDIENTE
201702,IBK_CODUNICO00027880336,SAN ISIDRO,47,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,INGENIERO,F,DEPENDIENTE
201703,IBK_CODUNICO00029202087,CALLAO,66,CALLAO,1,1,LIMA Y CALLAO,1,66 - 72,1200 - 3999,PROV. CONST. DEL CALLAO,,M,DEPENDIENTE
201712,IBK_CODUNICO00023053278,TACNA,31,TACNA,1,1,PROVINCIA,0,28 - 45,1200 - 3999,TACNA,,M,INDEPENDIENTE
201709,IBK_CODUNICO00024924413,ATE,32,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201709,IBK_CODUNICO00029369829,VILLA EL SALVADOR,50,LIMA,1,0,LIMA Y CALLAO,0,46 - 65,1200 - 3999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00027678053,LIMA,32,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201705,IBK_CODUNICO00027908180,CHORRILLOS,31,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201707,IBK_CODUNICO00020564451,PUEBLO LIBRE,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,F,DEPENDIENTE
201710,IBK_CODUNICO00021201584,SAN MIGUEL,24,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,F,DEPENDIENTE
201702,IBK_CODUNICO00022622277,LOS OLIVOS,33,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,Hasta 849,LIMA,,F,DEPENDIENTE
201709,IBK_CODUNICO00026007042,LIMA,26,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,M,INDEPENDIENTE
201707,IBK_CODUNICO00026733846,EL TAMBO,51,JUNÍN,1,1,PROVINCIA,1,46 - 65,1200 - 3999,HUANCAYO,,F,DEPENDIENTE
201712,IBK_CODUNICO00028729919,SANTIAGO DE SURCO,47,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,M,INDEPENDIENTE
201701,IBK_CODUNICO00023678478,COMAS,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,ANALISTAS DE SISTEMA Y COMPUTO,M,DEPENDIENTE
201703,IBK_CODUNICO00029333250,TRUJILLO,57,LA LIBERTAD,1,1,PROVINCIA,1,46 - 65,10000 - 14999,TRUJILLO,PROFESOR,M,DEPENDIENTE
201703,IBK_CODUNICO00026042278,SAN MIGUEL,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,NUTRICIONISTA,M,DEPENDIENTE
201711,IBK_CODUNICO00027317395,COMAS,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,10000 - 14999,LIMA,,M,DEPENDIENTE
201701,IBK_CODUNICO00018734851,VILLA EL SALVADOR,59,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,INDEPENDIENTE
201705,IBK_CODUNICO00027808706,EL AGUSTINO,27,LIMA,1,0,LIMA Y CALLAO,0,18 - 27,850 - 1199,LIMA,,F,DEPENDIENTE
201702,IBK_CODUNICO00028377494,CHORRILLOS,25,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00027874042,GUADALUPE,30,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,1200 - 3999,PACASMAYO,,M,INDEPENDIENTE
201709,IBK_CODUNICO00027160769,SAN MARTIN DE PORRES,35,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201709,IBK_CODUNICO00027915857,PUNO,34,PUNO,1,1,PROVINCIA,1,28 - 45,4000 - 9999,PUNO,,F,DEPENDIENTE
201706,IBK_CODUNICO00023707391,SANTIAGO DE SURCO,51,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,ADMINISTRADOR DE EMPRESAS,F,DEPENDIENTE
201707,IBK_CODUNICO00017134693,LA VICTORIA,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00024383990,TACNA,28,TACNA,1,1,PROVINCIA,0,28 - 45,De 15000 a más,TACNA,,F,INDEPENDIENTE
201712,IBK_CODUNICO00017107688,SANTIAGO DE SURCO,46,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,INDEPENDIENTE
201702,IBK_CODUNICO00023939310,TACNA,37,TACNA,1,0,PROVINCIA,1,28 - 45,4000 - 9999,TACNA,,M,INDEPENDIENTE
201702,IBK_CODUNICO00025428174,HUARAL,48,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,HUARAL,,F,INDEPENDIENTE
201704,IBK_CODUNICO00026639379,CAYMA,57,AREQUIPA,1,1,PROVINCIA,1,46 - 65,1200 - 3999,AREQUIPA,,M,INDEPENDIENTE
201709,IBK_CODUNICO00026446909,JOSE LUIS BUSTAMANTE Y RIVERO,39,AREQUIPA,1,1,PROVINCIA,1,28 - 45,De 15000 a más,AREQUIPA,,M,DEPENDIENTE
201703,IBK_CODUNICO00027840738,LURIN,23,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,850 - 1199,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00025529066,MIRAFLORES,58,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,ADMINISTRADOR DE EMPRESAS,F,DEPENDIENTE
201708,IBK_CODUNICO00026438178,JESUS MARIA,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201710,IBK_CODUNICO00029137083,SAN JUAN DE MIRAFLORES,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201705,IBK_CODUNICO00028886807,BREÑA,27,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,M,INDEPENDIENTE
201702,IBK_CODUNICO00028411904,BARRANCO,29,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,,M,DEPENDIENTE
201702,IBK_CODUNICO00023526326,CHEPEN,41,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,4000 - 9999,CHEPEN,INGENIERO,M,DEPENDIENTE
201704,IBK_CODUNICO00028718670,PUNO,60,PUNO,1,1,PROVINCIA,1,46 - 65,4000 - 9999,PUNO,CONTADOR,M,DEPENDIENTE
201706,IBK_CODUNICO00028620786,NAZCA,33,ICA,1,0,PROVINCIA,0,28 - 45,1200 - 3999,NAZCA,,F,DEPENDIENTE
201701,IBK_CODUNICO00028909647,SANTIAGO,32,CUSCO,1,0,PROVINCIA,0,28 - 45,1200 - 3999,CUSCO,,F,INDEPENDIENTE
201701,IBK_CODUNICO00026349604,PUNO,46,PUNO,1,1,PROVINCIA,0,46 - 65,1200 - 3999,PUNO,,M,DEPENDIENTE
201707,IBK_CODUNICO00027742211,MAGDALENA DEL MAR,25,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201706,IBK_CODUNICO00028622538,JESUS MARIA,51,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,M,DEPENDIENTE
201707,IBK_CODUNICO00028360793,SANTIAGO DE SURCO,27,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,M,DEPENDIENTE
201707,IBK_CODUNICO00024853668,CALLAO,30,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,PROV. CONST. DEL CALLAO,,F,DEPENDIENTE
201711,IBK_CODUNICO00027525737,LA MOLINA,26,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00027794639,SAN MIGUEL,62,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00028945546,MIRAFLORES,53,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,ECONOMISTA,F,DEPENDIENTE
201702,IBK_CODUNICO00027809183,VILLA MARIA DEL TRIUNFO,30,LIMA,0,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201701,IBK_CODUNICO00022050981,TRUJILLO,35,LA LIBERTAD,1,0,PROVINCIA,1,28 - 45,4000 - 9999,TRUJILLO,,M,DEPENDIENTE
201710,IBK_CODUNICO00028482058,SAN JUAN DE MIRAFLORES,30,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201712,IBK_CODUNICO00026455783,SURQUILLO,53,LIMA,0,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,COSMETOLOGO,F,DEPENDIENTE
201704,IBK_CODUNICO00026159669,ALTO SELVA ALEGRE,46,AREQUIPA,1,1,PROVINCIA,1,46 - 65,1200 - 3999,AREQUIPA,,M,INDEPENDIENTE
201707,IBK_CODUNICO00026218568,PUEBLO LIBRE,52,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,INDEPENDIENTE
201711,IBK_CODUNICO00027715375,CARABAYLLO,52,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,DEPENDIENTE
201702,IBK_CODUNICO00016298825,SAN JUAN DE LURIGANCHO,25,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,4000 - 9999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00022160190,LA PERLA,44,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,PROV. CONST. DEL CALLAO,,M,INDEPENDIENTE
201702,IBK_CODUNICO00024593532,SANTIAGO DE SURCO,54,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,INGENIERO,M,INDEPENDIENTE
201708,IBK_CODUNICO00026501646,LA VICTORIA,52,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,DEPENDIENTE
201703,IBK_CODUNICO00027845596,MIRAFLORES,39,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,ABOGADO,M,DEPENDIENTE
201708,IBK_CODUNICO00020544679,AREQUIPA,28,AREQUIPA,0,1,PROVINCIA,1,28 - 45,1200 - 3999,AREQUIPA,,F,INDEPENDIENTE
201708,IBK_CODUNICO00029388511,SAN JUAN DE LURIGANCHO,35,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201706,IBK_CODUNICO00026457493,EL AGUSTINO,22,LIMA,1,0,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,F,DEPENDIENTE
201711,IBK_CODUNICO00018081047,LOS OLIVOS,39,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,ADMINISTRADOR DE EMPRESAS,F,DEPENDIENTE
