MES,CODIGOCLIENTE,BANCARIZADO,SEGMENTO_CANAL,SEGMENTO_CAPTACIONES,TIPO_VINCULACION
201706,IBK_CODUNICO00026959480,S,Digital,Sin segmento,02.ACTIVOS
201705,IBK_CODUNICO00028677411,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201703,IBK_CODUNICO00024961427,S,Digital,07.ANSIOSO,02.ACTIVOS
201703,IBK_CODUNICO00027074023,S,Digital,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00027986079,S,Light user,03.CONSUMIDOR,03.PASIVOS
201704,IBK_CODUNICO00024218985,S,ATM,06.TRANSACCIONAL DEP,02.ACTIVOS
201707,IBK_CODUNICO00028464801,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201702,IBK_CODUNICO00025471277,S,Sin segmento,Sin segmento,02.ACTIVOS
201709,IBK_CODUNICO00027473686,S,Tradicional,05.TRANSACCIONAL IND,03.PASIVOS
201709,IBK_CODUNICO00027061166,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201706,IBK_CODUNICO00029351857,S,Tradicional,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00028005367,S,Digital,07.ANSIOSO,02.ACTIVOS
201710,IBK_CODUNICO00022984366,S,Digital,05.TRANSACCIONAL IND,03.PASIVOS
201711,IBK_CODUNICO00020560107,S,Tradicional,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00028576897,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00029357645,S,Digital,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00020008301,S,Agente,Sin segmento,02.ACTIVOS
201712,IBK_CODUNICO00029145914,S,Sin transacciones,02.INACTIVOS,03.PASIVOS
201703,IBK_CODUNICO00021747117,S,Agente,08.RETIRO,03.PASIVOS
201704,IBK_CODUNICO00021336463,S,Sin segmento,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00018488096,N,Digital,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00024524975,S,Digital,02.INACTIVOS,02.ACTIVOS
201703,IBK_CODUNICO00013198490,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201703,IBK_CODUNICO00026265247,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201703,IBK_CODUNICO00028246744,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201705,IBK_CODUNICO00022262034,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201711,IBK_CODUNICO00027311473,S,Light user,01.NUEVOS,03.PASIVOS
201710,IBK_CODUNICO00029398535,S,Light user,Sin segmento,02.ACTIVOS
201707,IBK_CODUNICO00028493113,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00025206826,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201711,IBK_CODUNICO00026588540,S,Digital,03.CONSUMIDOR,01.NI ACTIVOS NI PASIVOS
201703,IBK_CODUNICO00020602815,S,Sin segmento,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00029010614,S,Light user,01.NUEVOS,01.NI ACTIVOS NI PASIVOS
201701,IBK_CODUNICO00022234086,S,Digital,07.ANSIOSO,03.PASIVOS
201711,IBK_CODUNICO00028893101,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201707,IBK_CODUNICO00024785834,S,Digital,07.ANSIOSO,03.PASIVOS
201712,IBK_CODUNICO00018257688,S,ATM,01.NUEVOS,03.PASIVOS
201712,IBK_CODUNICO00026563484,S,Digital,07.ANSIOSO,02.ACTIVOS
201709,IBK_CODUNICO00029374957,S,Light user,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00028390413,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201703,IBK_CODUNICO00026321204,N,ATM,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00028489797,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201703,IBK_CODUNICO00020554932,S,Sin segmento,Sin segmento,02.ACTIVOS
201711,IBK_CODUNICO00026678409,N,ATM,05.TRANSACCIONAL IND,03.PASIVOS
201703,IBK_CODUNICO00022922085,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO00026844606,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201707,IBK_CODUNICO00024836433,S,Digital,07.ANSIOSO,02.ACTIVOS
201704,IBK_CODUNICO00028676156,S,ATM,08.RETIRO,02.ACTIVOS
201710,IBK_CODUNICO0004318753,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201702,IBK_CODUNICO0009100103,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201707,IBK_CODUNICO00029013196,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201702,IBK_CODUNICO00022732481,S,Light user,08.RETIRO,03.PASIVOS
201705,IBK_CODUNICO00028239266,S,Agente,02.INACTIVOS,02.ACTIVOS
201707,IBK_CODUNICO00024874591,S,Agente,08.RETIRO,03.PASIVOS
201705,IBK_CODUNICO00029277251,S,Digital,07.ANSIOSO,03.PASIVOS
201702,IBK_CODUNICO00028232750,S,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201712,IBK_CODUNICO00015720493,S,Tradicional,07.ANSIOSO,03.PASIVOS
201706,IBK_CODUNICO00021563975,S,Tradicional,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00027108061,S,Digital,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00028476089,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201703,IBK_CODUNICO00022258732,N,Light user,03.CONSUMIDOR,03.PASIVOS
201702,IBK_CODUNICO00029294673,S,Digital,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00029348481,S,Digital,01.NUEVOS,02.ACTIVOS
201710,IBK_CODUNICO00027534974,S,Digital,07.ANSIOSO,02.ACTIVOS
201712,IBK_CODUNICO00023251465,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201701,IBK_CODUNICO00026018918,S,Digital,01.NUEVOS,02.ACTIVOS
201709,IBK_CODUNICO00028711995,S,Light user,Sin segmento,02.ACTIVOS
201707,IBK_CODUNICO00029346453,S,Light user,08.RETIRO,03.PASIVOS
201706,IBK_CODUNICO00029379363,S,Sin segmento,Sin segmento,02.ACTIVOS
201706,IBK_CODUNICO00027781568,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201711,IBK_CODUNICO00029347898,S,Digital,04.AHORRADOR,02.ACTIVOS
201711,IBK_CODUNICO00028473965,N,Sin transacciones,02.INACTIVOS,03.PASIVOS
201707,IBK_CODUNICO00027116041,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO00028714295,N,Light user,03.CONSUMIDOR,03.PASIVOS
201703,IBK_CODUNICO00029364229,S,Light user,01.NUEVOS,03.PASIVOS
201710,IBK_CODUNICO00025799229,S,Digital,02.INACTIVOS,02.ACTIVOS
201706,IBK_CODUNICO00029245587,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201708,IBK_CODUNICO00016954146,N,Tradicional,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00028601997,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00026367227,N,Tradicional,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO0007166524,S,Tradicional,Sin segmento,02.ACTIVOS
201701,IBK_CODUNICO00027254182,S,ATM,06.TRANSACCIONAL DEP,02.ACTIVOS
201706,IBK_CODUNICO00027172483,S,ATM,05.TRANSACCIONAL IND,03.PASIVOS
201707,IBK_CODUNICO00021210373,S,Tradicional,Sin segmento,02.ACTIVOS
201706,IBK_CODUNICO00013461511,S,Light user,02.INACTIVOS,02.ACTIVOS
201709,IBK_CODUNICO00028961637,S,Digital,Sin segmento,02.ACTIVOS
201709,IBK_CODUNICO00022786801,S,Light user,04.AHORRADOR,02.ACTIVOS
201703,IBK_CODUNICO00019595489,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201706,IBK_CODUNICO00025720920,S,Agente,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00028889078,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201704,IBK_CODUNICO00028171564,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201712,IBK_CODUNICO00026650655,S,Digital,07.ANSIOSO,02.ACTIVOS
201703,IBK_CODUNICO00024069809,S,Agente,08.RETIRO,02.ACTIVOS
201705,IBK_CODUNICO00025659053,S,Sin transacciones,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00021385719,S,Digital,02.INACTIVOS,02.ACTIVOS
201712,IBK_CODUNICO00027056248,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201701,IBK_CODUNICO00028071223,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO00023303411,S,Light user,07.ANSIOSO,03.PASIVOS
201703,IBK_CODUNICO00026552085,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201712,IBK_CODUNICO00025013542,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201709,IBK_CODUNICO00029381537,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201704,IBK_CODUNICO00028547849,S,Light user,08.RETIRO,03.PASIVOS
201712,IBK_CODUNICO00026555818,S,Tradicional,08.RETIRO,02.ACTIVOS
201709,IBK_CODUNICO00029332343,S,Sin transacciones,Sin segmento,02.ACTIVOS
201711,IBK_CODUNICO00025852490,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201711,IBK_CODUNICO00029112515,S,ATM,05.TRANSACCIONAL IND,02.ACTIVOS
201706,IBK_CODUNICO00024173675,N,Digital,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00028876635,N,Light user,05.TRANSACCIONAL IND,03.PASIVOS
201703,IBK_CODUNICO00025587361,S,Digital,08.RETIRO,03.PASIVOS
201701,IBK_CODUNICO00011018149,S,Tradicional,02.INACTIVOS,02.ACTIVOS
201711,IBK_CODUNICO00029006122,S,Agente,08.RETIRO,03.PASIVOS
201705,IBK_CODUNICO00027625225,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201706,IBK_CODUNICO00027810461,S,Tradicional,Sin segmento,02.ACTIVOS
201705,IBK_CODUNICO00025213969,S,ATM,08.RETIRO,03.PASIVOS
201709,IBK_CODUNICO00028323107,S,Digital,07.ANSIOSO,02.ACTIVOS
201702,IBK_CODUNICO00023953910,N,ATM,05.TRANSACCIONAL IND,03.PASIVOS
201710,IBK_CODUNICO00027560602,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201708,IBK_CODUNICO00028088918,S,Light user,07.ANSIOSO,03.PASIVOS
201701,IBK_CODUNICO00025669847,S,Agente,02.INACTIVOS,02.ACTIVOS
201711,IBK_CODUNICO00024397657,S,ATM,03.CONSUMIDOR,02.ACTIVOS
201710,IBK_CODUNICO00025411860,S,Sin segmento,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00018890345,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201712,IBK_CODUNICO00029406953,S,Digital,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00029245437,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00023010648,S,Light user,01.NUEVOS,03.PASIVOS
201701,IBK_CODUNICO0005262851,S,Light user,08.RETIRO,03.PASIVOS
201701,IBK_CODUNICO00025541521,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201708,IBK_CODUNICO00020776278,S,Digital,03.CONSUMIDOR,03.PASIVOS
201701,IBK_CODUNICO00026470589,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201706,IBK_CODUNICO00028504133,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201708,IBK_CODUNICO00024678410,N,ATM,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00025775227,S,Tradicional,01.NUEVOS,02.ACTIVOS
201709,IBK_CODUNICO00026260566,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00023123219,N,Digital,04.AHORRADOR,03.PASIVOS
201711,IBK_CODUNICO00027595385,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00026836467,S,Tradicional,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00029100495,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201701,IBK_CODUNICO00025692783,N,ATM,05.TRANSACCIONAL IND,03.PASIVOS
201703,IBK_CODUNICO00028705458,S,Digital,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00021310440,S,Agente,08.RETIRO,02.ACTIVOS
201701,IBK_CODUNICO00026846446,S,Light user,01.NUEVOS,02.ACTIVOS
201711,IBK_CODUNICO00028292093,S,Digital,03.CONSUMIDOR,03.PASIVOS
201706,IBK_CODUNICO00024132439,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201704,IBK_CODUNICO00025605553,S,Light user,07.ANSIOSO,03.PASIVOS
201703,IBK_CODUNICO00026451823,S,Tradicional,01.NUEVOS,02.ACTIVOS
201702,IBK_CODUNICO00028819268,S,Digital,Sin segmento,02.ACTIVOS
201707,IBK_CODUNICO00026886174,S,Sin segmento,Sin segmento,02.ACTIVOS
201701,IBK_CODUNICO00027135184,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201711,IBK_CODUNICO00024352963,S,Agente,Sin segmento,03.PASIVOS
201711,IBK_CODUNICO00028211527,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00026168867,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201703,IBK_CODUNICO00028933508,S,Light user,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00024581403,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201710,IBK_CODUNICO00020587329,S,Agente,01.NUEVOS,03.PASIVOS
201712,IBK_CODUNICO00026071229,S,Digital,07.ANSIOSO,03.PASIVOS
201702,IBK_CODUNICO00023425226,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201702,IBK_CODUNICO00028029026,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201703,IBK_CODUNICO00028224295,S,Digital,07.ANSIOSO,03.PASIVOS
201708,IBK_CODUNICO00023625830,S,Light user,02.INACTIVOS,02.ACTIVOS
201711,IBK_CODUNICO00028904323,S,Agente,03.CONSUMIDOR,03.PASIVOS
201709,IBK_CODUNICO00026276393,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00028205489,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201706,IBK_CODUNICO0001067899,S,Tradicional,Sin segmento,02.ACTIVOS
201707,IBK_CODUNICO00028705598,S,Digital,07.ANSIOSO,02.ACTIVOS
201709,IBK_CODUNICO00019982419,S,Light user,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00028605081,N,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00026100216,S,Light user,Sin segmento,02.ACTIVOS
201709,IBK_CODUNICO00027255788,S,Digital,07.ANSIOSO,02.ACTIVOS
201710,IBK_CODUNICO00027105168,S,Light user,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00028376957,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201702,IBK_CODUNICO00023824105,S,Digital,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00025404664,S,Digital,07.ANSIOSO,03.PASIVOS
201707,IBK_CODUNICO00027746289,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00028390230,S,Agente,08.RETIRO,03.PASIVOS
201710,IBK_CODUNICO00023799112,S,Digital,01.NUEVOS,02.ACTIVOS
201703,IBK_CODUNICO00027752236,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201712,IBK_CODUNICO00029193532,S,Digital,03.CONSUMIDOR,03.PASIVOS
201705,IBK_CODUNICO00026102472,S,Digital,07.ANSIOSO,03.PASIVOS
201709,IBK_CODUNICO00022863515,S,Digital,04.AHORRADOR,03.PASIVOS
201709,IBK_CODUNICO00020162026,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201702,IBK_CODUNICO00028564408,S,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201709,IBK_CODUNICO00028154463,S,Digital,07.ANSIOSO,02.ACTIVOS
201711,IBK_CODUNICO00027258106,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201706,IBK_CODUNICO00029279819,S,Tradicional,08.RETIRO,02.ACTIVOS
201706,IBK_CODUNICO00025638415,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201703,IBK_CODUNICO00025585086,S,Digital,01.NUEVOS,02.ACTIVOS
201702,IBK_CODUNICO00025225203,S,Tradicional,04.AHORRADOR,02.ACTIVOS
201704,IBK_CODUNICO00027567467,S,Digital,03.CONSUMIDOR,03.PASIVOS
201705,IBK_CODUNICO00026633160,S,Digital,07.ANSIOSO,02.ACTIVOS
201702,IBK_CODUNICO00013235238,S,Sin segmento,Sin segmento,03.PASIVOS
201710,IBK_CODUNICO00024995596,S,Digital,03.CONSUMIDOR,03.PASIVOS
201702,IBK_CODUNICO00024170627,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201712,IBK_CODUNICO00017288347,S,Light user,01.NUEVOS,02.ACTIVOS
201709,IBK_CODUNICO00028797860,S,Light user,Sin segmento,02.ACTIVOS
201711,IBK_CODUNICO00026564972,S,Digital,03.CONSUMIDOR,03.PASIVOS
201711,IBK_CODUNICO00029313752,S,Digital,01.NUEVOS,02.ACTIVOS
201709,IBK_CODUNICO00020920432,S,Sin segmento,Sin segmento,02.ACTIVOS
201701,IBK_CODUNICO00027905140,N,Digital,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00025188865,S,ATM,05.TRANSACCIONAL IND,02.ACTIVOS
201709,IBK_CODUNICO00028542738,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00025974588,S,ATM,08.RETIRO,03.PASIVOS
201703,IBK_CODUNICO00018147559,S,Digital,02.INACTIVOS,02.ACTIVOS
201701,IBK_CODUNICO00022932966,S,Light user,03.CONSUMIDOR,03.PASIVOS
201706,IBK_CODUNICO00025622833,S,Tradicional,08.RETIRO,03.PASIVOS
201702,IBK_CODUNICO00023303649,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201703,IBK_CODUNICO00029210683,N,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201701,IBK_CODUNICO00028560566,S,ATM,08.RETIRO,03.PASIVOS
201705,IBK_CODUNICO00027291902,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201711,IBK_CODUNICO00015846297,N,Digital,01.NUEVOS,03.PASIVOS
201708,IBK_CODUNICO00023140570,S,Digital,07.ANSIOSO,02.ACTIVOS
201703,IBK_CODUNICO00027222644,S,Tradicional,01.NUEVOS,03.PASIVOS
201706,IBK_CODUNICO00028424883,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201712,IBK_CODUNICO00015788593,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201712,IBK_CODUNICO00014008051,S,Digital,07.ANSIOSO,03.PASIVOS
201708,IBK_CODUNICO00028367572,S,Light user,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00022743715,S,Tradicional,01.NUEVOS,02.ACTIVOS
201707,IBK_CODUNICO00026448338,S,Digital,03.CONSUMIDOR,03.PASIVOS
201706,IBK_CODUNICO00026439655,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201704,IBK_CODUNICO00022543330,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201708,IBK_CODUNICO00024972064,S,Digital,04.AHORRADOR,02.ACTIVOS
201702,IBK_CODUNICO00027615303,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00023622726,S,Agente,08.RETIRO,02.ACTIVOS
201708,IBK_CODUNICO00025480525,S,Light user,03.CONSUMIDOR,03.PASIVOS
201706,IBK_CODUNICO00025873205,S,Tradicional,02.INACTIVOS,02.ACTIVOS
201709,IBK_CODUNICO00029284425,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201709,IBK_CODUNICO00026755523,S,Agente,06.TRANSACCIONAL DEP,02.ACTIVOS
201702,IBK_CODUNICO00027410437,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201712,IBK_CODUNICO00029360324,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201701,IBK_CODUNICO00024975708,N,Light user,03.CONSUMIDOR,03.PASIVOS
201709,IBK_CODUNICO00024446296,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201708,IBK_CODUNICO00020507792,S,ATM,02.INACTIVOS,03.PASIVOS
201709,IBK_CODUNICO00028387057,S,ATM,08.RETIRO,03.PASIVOS
201704,IBK_CODUNICO00029260355,S,Digital,07.ANSIOSO,02.ACTIVOS
201701,IBK_CODUNICO00028688355,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201711,IBK_CODUNICO0008359458,S,Light user,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00026826095,N,Digital,01.NUEVOS,03.PASIVOS
201712,IBK_CODUNICO00019537135,S,Light user,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00026396299,S,Digital,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00024590135,N,Light user,08.RETIRO,03.PASIVOS
201706,IBK_CODUNICO00025899889,S,Digital,01.NUEVOS,01.NI ACTIVOS NI PASIVOS
201702,IBK_CODUNICO00029257460,S,Digital,07.ANSIOSO,03.PASIVOS
201707,IBK_CODUNICO00024038055,N,Light user,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00028935046,S,Tradicional,07.ANSIOSO,03.PASIVOS
201707,IBK_CODUNICO00025906145,S,Digital,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00027161689,S,Tradicional,08.RETIRO,02.ACTIVOS
201702,IBK_CODUNICO00028967593,N,Light user,02.INACTIVOS,03.PASIVOS
201702,IBK_CODUNICO00024639406,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201705,IBK_CODUNICO00027379934,S,Sin transacciones,01.NUEVOS,02.ACTIVOS
201708,IBK_CODUNICO00024223881,S,Light user,03.CONSUMIDOR,02.ACTIVOS
201703,IBK_CODUNICO00026634243,S,Digital,07.ANSIOSO,03.PASIVOS
201707,IBK_CODUNICO00027744863,S,Tradicional,08.RETIRO,02.ACTIVOS
201707,IBK_CODUNICO00026986395,S,Tradicional,01.NUEVOS,02.ACTIVOS
201704,IBK_CODUNICO00028322828,S,Light user,01.NUEVOS,03.PASIVOS
201702,IBK_CODUNICO00026711234,S,Tradicional,04.AHORRADOR,03.PASIVOS
201711,IBK_CODUNICO00023868254,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201707,IBK_CODUNICO00027880257,N,Digital,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00026571369,S,Digital,07.ANSIOSO,03.PASIVOS
201702,IBK_CODUNICO00028678944,S,Tradicional,07.ANSIOSO,03.PASIVOS
201711,IBK_CODUNICO00025951311,S,Light user,Sin segmento,02.ACTIVOS
201712,IBK_CODUNICO00023592192,S,ATM,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00024517011,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201712,IBK_CODUNICO00029132923,N,Light user,02.INACTIVOS,01.NI ACTIVOS NI PASIVOS
201701,IBK_CODUNICO00026009856,N,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00026679000,S,Agente,08.RETIRO,03.PASIVOS
201707,IBK_CODUNICO00026777269,S,Agente,06.TRANSACCIONAL DEP,02.ACTIVOS
201703,IBK_CODUNICO00028217533,S,Tradicional,Sin segmento,02.ACTIVOS
201705,IBK_CODUNICO00029384777,S,Light user,02.INACTIVOS,02.ACTIVOS
201701,IBK_CODUNICO00028094780,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201705,IBK_CODUNICO00027271803,N,ATM,08.RETIRO,03.PASIVOS
201710,IBK_CODUNICO0006760301,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201712,IBK_CODUNICO00020078543,S,Tradicional,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00029133487,S,Digital,01.NUEVOS,02.ACTIVOS
201701,IBK_CODUNICO00025786029,S,Digital,01.NUEVOS,02.ACTIVOS
201709,IBK_CODUNICO00025248011,S,Tradicional,01.NUEVOS,03.PASIVOS
201704,IBK_CODUNICO00029265847,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201712,IBK_CODUNICO00021998256,N,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00027399843,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201712,IBK_CODUNICO00022279123,S,Agente,01.NUEVOS,03.PASIVOS
201712,IBK_CODUNICO00028948470,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201710,IBK_CODUNICO00019604950,S,Tradicional,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00028189419,S,Tradicional,01.NUEVOS,02.ACTIVOS
